ID,Story,RaterMean
1,Morgan wanted to write to her mom.  Telling her all about how having covid-19 and what it has done to her life.  She begins to write the letter and realized she doesn't have a stamp.  She is in quarantine and cannot go out to get a stamp.  She calls her friend Emily and asks her to bring her a stamp. Emily is apprehensive due to her fear of catching covid-19.  Morgan assures her that she is fine and can leave the stamp in the mail box.  She so much wants to send the letter and hopes Emily comes through with the stamp.,4
2,I needed to send a letter for the last week. I didn't realize I didn't have any envelopes. So I went to the office supply store and picked up some envelopes and other items. I went home and saw I had no stamps either. I went to the post office for my stamps.,1.5
3,"2 days ago, I tried to send a letter to my cousin who is living in California. Later I noticed that I forgot to paste a stamp on the envelope. Then I asked the official in that office to get my letter. He helped me. Then I pasted stamp on it and left it in the post box.",2
4,"Don't you love writing letters? I know I do. I love receiving them too.  Its so nice to hear from some one that way.  The fact that they went through the trouble to go to the post office to send it, buy a stamp and an envelope, take the time to write.  It just is a lot more meaningful.",1.75
5,"Dan is excited to send his letter to his grandma whom he loves so much. She moved farther away so he does not get to see her as much. He makes his way to the post office and asks for a stamp before sending his letter out. The woman at the counter takes care of his letter and hands it back to him so he can put it in the box to be sent out. Before putting it into the box, Dan seals the letter with a big kiss.",2.5
6,I couldn't believe the traffic outside my house. It was going to be a special day because a rocket was going to launch across the street. They said that it was going to be the first rocket to reach Venus. I took a photo of the rocket and printed it out and then stuck it in an envelope to send it to my cousin. I quickly wrote a letter and put it with the photo before sealing it and then put a stamp on it. I knew my cousin would love it.,4.25
7,Once when I was child my father used to write letters and send to his friends. Once he received a letter from his friend.  There was stamp on the letter cover I opened it unknowingly. My father got angry on me. So i apologized to him for doing wrong. He then consoled and said not to repeat this again.,2.25
8,"I really need to send a letter to my grandma. I am out of stamps though. I dread the thought of going to the post office because of all the drama with them lately. I wonder if they would notice if I just drew a stamp on the envelope, or just put a pretty sticker on it. Would they send it for me anyway. I guess I will bite the bullet and go to the post office. My grandma has to get her letter from her secret pal.",3
9,"I checked the mail early in the morning, and I was pleasantly surprised to see my long-time pen pal had sent me a letter in the mail. I always love receiving mail from her. Whenever we send letter to each other, we like to include some cute piece of stationery or ephemera that we can keep as a reminder. She used my favorite stamp of a cat playing with a yarn ball this time. I can't wait to reply to her!",3
10,"The man knew he was out of time. He thought to himself, ""If I don't take care of this soon I'll be in some real trouble."" He put a stamp on the letter and brought it with him as he walked towards his car. He thought to himself, ""I better send this right now."" As he drove towards the post office he started contemplating his life. He wondered if this was the right decision. ""Do I really want to end this relationship"" he said to himself quietly. It's too late he thought, I've got to do it.",3.5
11,"I found my real mother's name and address in the adoption records.  I wrote the questions I had on the prettiest stationery I could find.  I closed the envelope, pasted a stamp, and a tear fell on the letter.  I thre",2
12,The girl was excited that it was Christmas time.  She wanted to send Santa a letter.  Her mother helped her write a letter to Santa.  The girl wrote down all the wonderful things she wanted for Christmas.  She also explained to Santa how she was a good girl.  The girl put a stamp on the letter and the mother took the girl to the post office so she could send her letter to Santa.,2.75
13,"I always try to send hand written letters to my friends and family for the holidays. It sometimes is overwhelming coming up with different and unique things to say to all of them. Although, I like the personal touch of a good old fashioned letter mailed with a stamp. I believe that it makes them feel special and appreciated.",2.5
14,My friend moved to a different state. I could not reach her on phone. it was very depressing for me. i decided to write her a  letter since i knew her address. I bought stamps and wrote he a letter. She replied! i was beyond excited.,1.5
15,"Joe was wandering around the mall one day when he saw a store selling cards. He stopped and looked in the window of the store, realizing it felt like he was forgetting something. It suddenly came to him in a big way - it was his moms birthday this weekend! Joe ran into the store and bought a card quickly, and rushed home to write a letter to include in the card. He realized he didn't have a stamp, so he grabbed the card and letter and rushed to post office to get some stamps and send the letter out before the mail was picked up that day. Joe's mom was so happy to get his card and letter, she had no idea he had forgotten.",3
16,"The momentous summit between the two dictators was fast approaching. The date was set the previous summer, and now the day was here to send a message requesting cooperation for the security details. This was certainly not the kind of message you send in a letter, then put in an envelope with a stamp on it. Instead, a high-tech communications channel was initiated between the diplomatic and military services of the respective regimes. The message was sent with the greatest level of urgency and security of encryption, because it contained details about the event preparations.",4.5
17,Recently I had to send a letter to my sister that moved away. It was the first time I used stamps in a long time. She moved to another state. It was unexpected and I miss her. I sent it out a few days ago I think she should get it soon.,1.75
18,"The adhesive of the stamp tasted bitter on my tongue. I rubbed it firmly onto the envelope, which was thick and heavy. This letter had to make it through the wormhole, so I made sure it was sealed very firmly on the back. I wrote the address on the front, and wondered if the Post Office knew where to send letters addressed to the newly discovered Omicron sector. Space Force would be taking these letters and thrusting them through the wormhole.",3.5
19,"Picture a little girl writing a letter to Santa.   She's excited in looking at catalogs and putting it in a written format to Santa.   Once she finishes her own letter, she asks her mom for a stamp so she can send it in the mail.   She puts on the stamp and skips to the mailbox.  Her little imagination is active wondering if she's on the naughty or nice list.",2.75
20,"The line inside is devastating, it looks short but I know it will take at least one hour. If I didn't have to buy a stamp I could have dropped this letter off at my local mailbox. Unfortunately I am doomed to wait and purchase a stamp with the clerk so I can send my letter. I will most likely purchase a book of stamps this time so I don't run into the same inconvenience next time I need to send a letter. I should have foreseen this when I was running out and used my last stamp.",3
21,I was talking to my grandchild the other day. She ask me the strangest question. She asks what is a letter? I said a letter can be part of a word or it can be many words written where someone may put it in an envelope to send out to someone else. She seemed shocked that people would take the time to stamp and send a letter when the internet was so available to everyone. I must be,2.75
22,"The little girl was so excited to send her letter!  She asked her mom for a stamp and filled out the envelope just right.  She ran to the mailbox and as she opened it, her letter fell into the wet sand below.  She was so upset but knew that it would dry off and be alright. She placed her wet, sandy letter into the mailbox, closed the door and raised the flag.  She couldn't wait for Santa to see what she wanted for Christmas!",3
23,While in the military the only way to speak to my wife was usually us writing back and forth to each other. This time it was harder than all of the rest. It took about two weeks for us to get more stamps and envelopes. Once we got the stamps I wrote my wife a letter and sent it off to her.,2.75
24,"Paul licked the stamp and placed it on his letter. He now only needed to send it, but he still wasn't sure if he would. What was contained in his letter would surely change his life in many ways if he decided to mail it. He thought long and hard about the decision, and finally dropped it in the box. He knew it was for the best, even if it was hard to do.",3.25
25,"Olivia had an overseas pen pal. Every week she'd mail her pal a letter. She spent hours telling her pal all the interesting things that'd happened in her life that week. Then, she'd pick out a cute stamp to put on the envelope. Finally, she'd send the letter, and anxiously await her pal's reply.",2.5
26,"My daughter had been sitting at her little table in her room. When I checked on her, she appeared to be happily drawing with her crayons. A few minutes later, she came out of her room and asked me if I had a stamp. She told me that she wanted to send the drawing she made of her pappy to her grandfather. Together we wrote a quick letter and posted the envelope the next day.",2.75
27,The letter was finally finished and Addison put down her pencil. All that was left was to put a stamp on the envelope and send it in the mail. Addison was very happy that she was keeping her communication with her pen pal alive. She thought they had a real connection and it always pleased her to send a new letter as well as receive one.,2.25
28,"The little boy found a letter in his attic. It was yellowed and brittle with age, the handwriting faded but still legible. After reading the love letter, the little boy was touched, and decided to track down the original recipient and send the letter to them. He found that they were still alive, and put a stamp on a fresh new envelope, and sent it off to them. A month later he received a new letter in his mailbox, thanking him for sending the letter. Because of it, the man had reunited with his old love, and they were happily living out their sunset years together, thanks to the little boy's efforts.",4.75
29,"i want to send the letter with pasting stamp in my office one week leave from office for medical emergency , so request for my leave letter to respond immediately",1.5
30,"I put a stamp on the letter and headed to the mailbox. On the way to it, my cat swiped at my foot trying to trip me. Not today. I quickly maneuvered my way past the cat and knew my time was coming to put my letter in the post box up the street. I dont know how long it would take for my letter to send, but being as impatient as I am, I needs to be faster already. I continued walking and as soon a I stepped out a car crashed right into the tree on my front lawn! WTF? How did this happen. I was just thankful it didnt hit me.",4.5
