ID,EnglishFirstLanguage,Story,Rater1,Rater2,Rater3,Rater4,Rater5,RaterMean,SemDis_CuesIn_cbowukwacsubtitle_nf_m,SemDis_CuesOUT_cbowukwacsubtitle_nf_m,WordCount
1,n,My lover has left. I miss him so much. I write a letter with his favorite stamp pattern. I send it to an unknown place where he may stay.,3,3,1,2,3,2.4,1.10815,0.89345,29
2,yes,"My mom was sending me a letter in the mail about how she wants me to come home. She ran out of stamps and had to go to the post office. While on the way to the post office, godzilla and God were having a fight. She made it to the post office, bought stamps, and could send the letter.",4,3,3,3,2,3,1.16734,0.84555,60
3,y,I had to buy a stamp at the post office. I am going to send my brother a package in the mail because I miss him and haven't seen him in forever. In the package I'm sending him a letter of everything I have experienced.,3,1,2,3,2,2.2,0.89265,1.10851,45
4,y,"I decided it was time for me to send my mom and dad a letter. I have been at overnight camp for the past six weeks and have not sent them one letter home, whoops. They write to me every night; however, I never respond because they can see I am having fun from the pictures posted online. The one time I go to write them, of course, I do not have a stamp. Guess it is a sign!",4,5,5,3,4,4.2,1.36365,1.36045,79
5,yes,"Rachel was sitting in her dorm and decided to write her friend Abby a letter and send it in the mail to Abby at her school in Wisconsin. Once she finished the letter she went to the post office to get a stamp for the letter. Once she got the stamp the letter was all ready to send to her friend, it was going to be a complete surprise. ",3,1,2,3,2,2.2,0.93188,1.02809,69
6,yes,"She finally found the stamp that she needed. She assembled her letter and was ready to send it. Unsure if she would get a response, she still placed it into her mailbox. All she could do now was wait.",3,1,2,2,2,2,0.89351,1.11097,39
7,yes,"Once upon a time there was a stamp. His name was Herold. Herold was only a little stamp, just a baby, but he was nervous about the future. His mother and father and two older brothers were already set on letters and he was the last to be chosen. His mother was a strong independent stamp. She got chosen to be used for the letter sent to Congress about the changes that needed to be made in the town of Gardenville; the town they were created. What was his destiny? What was his letter going to be?",5,5,5,5,5,5,1.1125,0.8903,97
8,y,"I was trying to send a letter to my parents, but the mailman won't let me. I keep asking why, but he won't answer. I need to get this letter to my parents before I leave. Then I realized I forgot the stamp.",2,3,2,2,3,2.4,0.81066,0.8255,43
9,yes,"Kristen wanted to send a letter to her boyfriend, Mike, so she asked her dorm building floor if anyone had a stamp. Her next door neighbor, Sarah, had one and knocked on Kristen's door to give her the stamp. She then got to writing her heartfelt letter to her boyfriend who was at the Naval Academy. ",3,2,3,3,3,2.8,0.89106,1.11093,56
10,yes,"last summer i wrote a letter from camp to my family about how much I missed them. I took my very last stamp and put it on the corner of my letter. When I was walking to the mailbox to send it to them, I tripped and dropped the letter. It blew away in the wind, and I never got to send it to them.",4,5,3,3,4,3.8,1.3395,1.00206,65
11,yes,"the mob boss had just finished stamping the resignation form of his worker. Soon enough, the boss knew, he would have to send a cover up letter to his workers family, to notify them that he would not be returning home anytime soon.  He was a good man, but should have known better than to defy someone of such high standing.",5,5,5,5,4,4.8,1.11044,1.11042,62
12,y,I used a stamp with a butterfly on it. I put the butterfly stamp on a letter which I wanted to send to my grandmother. I put it in my backpack to drop off at a mailbox but forgot about it for many months. I never sent the letter to my grandmother so I went to visit her instead.,2,2,4,2,1,2.2,1.11203,0.88978,59
13,y,When I received a letter from my sister asking how I was doing I wanted to send one back to her. I wrote to her telling her I was well. I put a stamp on the envelope and was able to send it out the next day.,2,1,2,2,2,1.8,0.9394,0.97056,47
14,yes,i want to send a letter to my mom. She lives far away and i miss her a lot. Today i will write the letter and go to the post office to buy a stamp. She should receive the letter in a couple of days and will be very happy.,2,1,2,2,2,1.8,1.15841,0.89433,50
15,no,David needed to send a letter. He went to the post office to buy a stamp.,1,1,1,1,1,1,0.69584,0.92215,16
16,yes,I am living in England and because my grandparents used to live here I decided I would send them a letter. All the places I have visited since I have been here are places that they used to spend their childhood lives visiting and passing on the streets. I am only here for a short time because I have to return back to America to resume my college career back at Penn State University. I went into this one store and bought a post card and a few stamps to mail to my grandparents back home.,3,3,4,4,4,3.6,1.09541,1.07997,96
17,yes,"I ran into a dilemma because I ordered new cheetah vans, you know the shoes, but they were way too much an uncomfortable. I called my mom to ask how to return them because she would usually do it for me but I am a college student now, no longer relying on mom to do the job. I followed her instructions and went on a bus to the post office. He stamp my package and sent it out to return back to the store and now here I am writing my sister a letter to update her on how college is not that simple.",3,3,5,4,3,3.6,0.89302,0.89083,104
18,no,"She misses him so much. She leans on the door and stares at the mountains everyday. Finally, on a bright afternoon, the letter sent by him from a very remote place arrived. Her tears fell on the stamp and wettened it.",4,3,4,3,3,3.4,1.11008,1.10989,41
19,no,"In a day in summer, Sandy sent a letter to his grandfather. She was on her way to the supermarket and then she would send her letter. however, on the way she sent her letter, she stamped. and then her letter lost. she cried for a long time.",3,3,3,4,3,3.2,1.10053,1.01475,48
20,y,The parent was sending something to their student. They put a stamp on it and put it in the box to send. When the student got it she saw it was a letter. She was a very happy student.,2,1,1,1,2,1.4,0.89572,1.07238,39
21,yes,"I hadn't talked to my brother in a long time because he is in the military overseas. So I decided to write him a letter that day. The post office is only five minutes away, so I swung by after getting breakfast with friends and grabbed  some stamps. After enjoying a relaxing day at home, and finishing the letter, I gave it to my mom for her to send before she went into work.",3,3,3,3,3,3,0.88961,1.11051,75
22,yes,Ive been in college for 3 months now so its time to write a letter back home to let my parents know im still alive. I want to send it but i have no stamps. My obvious response is to go door to door soliciting other peoples help. I eventually find someone and they give me a stamp,2,3,3,3,2,2.6,0.88981,1.11047,58
23,yes,"When I was 10, I had my first pen pal. I was so excited I got all the supplies  to send my letters to my buddy, like stamps, envelopes, stickers, and markers the second I got my pen pal. We talked about our lives and how we live since he lived on the other side of the world. But then he suddenly stopped. The last thing I received from him was a button.",4,5,4,3,4,4,0.89379,1.07439,74
24,yes,"I am writing a letter to my imaginary friend today. Ever since I went to college, and she didn't come with me, we have to keep in contact by letter, since she doesn't have a phone. I try to send a letter every 2 to 3 weeks to keep her updated on my life. She always sends me one back about 2 weeks later, which is nice. I writing to her about how I'm excited to come home next week and see her. Oh no, I forgot I have to go get stamps since I ran out, I'll be right back! ",4,5,3,5,3,4,0.88949,0.88935,101
25,y,The girl wanted to send a letter to a boy. However she was stumped on tell her feelings about him to him. She decided to go through with it. She wrote a letter and sent it through the mail.,4,1,3,3,2,2.6,0.67445,1.00447,39
